count;token;matched
3;aortofemoral;aorto-femoral
3;aotique;aortique
3;arre;aire arbre arme arret atre barre
3;aterite;arterite
3;avait;avant
3;baumanii;baumanni baumannii
3;biliare;biliaire biliares
3;bioprthese;bioprothese
3;bronchpneumopathie;bronchopneumopathie
3;cadiogenique;cardiogenique
3;cancr;cancer
3;cancre;chancre
3;cander;cancer
3;cardiomiopathie;cardiomyopathie
3;cardiopahie;cardiopathie
3;cardiorespiratoires;cardio-respiratoires cardiorespiratoire
3;cataclismique;cataclysmique
3;cette;dette
3;cholangicarcinome;cholangiocarcinome
3;chornique;chonique choreique
3;ciculatoire;circulatoire
3;code;cone corde cote coude iode mode sode
3;comma;coma
3;compliques;complique compliquee compliquees
3;compressives;compressive
3;context;contexte
3;craniofacial;cranio-facial
3;crannien;cranien
3;decomensation;decompensation
3;decompesation;decompensation
3;defaillace;defaillance
3;defailllance;defaillance
3;definie;defini
3;demense;defense demence demente
3;dentrition;denutrition
3;denurition;denutrition
3;dependent;dependant
3;detressse;detresse
3;detrsse;detresse
3;deutrition;denutrition
3;differentie;differencie
3;digetive;digestive
3;dinhalation;inhalation
3;ela;elan ema eoa esa eva fla hla la sla
3;escares;escarres
3;est;es esa esat esf esv et mst st test west
3;eta;ata beta ema eoa esa et etat eva hta kta meta nta ta
3;etata;etat etats
3;evidence;evidente
3;evident;evidente
3;evolee;evolue evoluee
3;evoluees;evoluee
3;evoquant;evoluant
3;explorations;exploration
3;favorise;favorisee
3;fecalis;faecalis fecales foecalis
3;femoropoplite;femoro-poplite
3;frature;fracture fracure friture
3;gangionnaires;ganglionnaires
3;genral;general
3;gle;ble cle gale gele gpe ile le
3;gravitz;grawitz
3;hapatiques;hepatiques
3;hemorragqiue;hemorragque
3;hyperthrophique;hypertrophique
3;hypotention;hypotension
3;ilio;ilio- ilion
3;inhalaton;inhalation
3;inhlation;inflation inhalation
3;insffisance;insuffisance
3;institutionalisation;institutionnalisation
3;insuffisace;insuffisance
3;insuffisane;insuffisance insuffisant insuffisante
3;insuffisanse;insuffisance insuffisante
3;insulino-requerent;insulino-requerant
3;insuufisance;insuffisance
3;intraabdominale;intra-abdominale
3;inuffisance;insuffisance
3;invahissement;envahissement
3;irenale;renale
3;irespiratoire;respiratoire
3;iscemique;ischemique ishemique
3;ischamique;ischemique
3;ischmique;ischemique isthmique
3;ishemie;ischemie
3;ladmission;admission
3;laile;aile labile laine
3;lapex;apex latex
3;larret;arret larrey
3;leiden;leyden
3;lentree;entree
3;lhallux;hallux
3;lhemisphere;hemisphere
3;liees;liee
3;limitations;limitation
3;maelena;melena
3;majore;majoree
3;maladei;malade
3;massives;massive
3;matastases;metastases
3;mbre;mare mere
3;menbres;membres
3;menigite;meningite
3;metasases;metastases metatsases
3;meti-r;methi-r
3;meticilline;methicilline
3;monopulmonaire;mono-pulmonaire
3;muco;mucor
3;multi-metastasee;multi-metastase multi-metastases
3;multi-metatstatique;multi-metastatique
3;multi-viscerales;multi-viscerale multiviscerales
3;multimetastasique;multimetastatique
3;multimetatstatique;multimetastatique
3;multivscerale;multiviscerale
3;n35;35 n3
3;negatives;negative
3;nosocomiales;nosocomiale
3;oro;coro iro or orl
3;paliatif;palliatif
3;pallitifs;palliatifs
3;pancratite;pancreatite
3;path;cath pah panh pash patch pate patho pth
3;peritonale;peritoneale
3;perotoneale;peritoneale
3;peumopathie;pneumopathie
3;pleuropericardique;pleuro-pericardique pleuropericardiques
3;pneumapathie;pneumopathie
3;pneumoathie;pneumopathie
3;poly-arteriopathie;polyarteriopathie
3;polyvicerale;polyviscerale
3;proth7se;prothese
3;pulmonnaire;pulmonaire
3;pulomonaire;pulmonaire
3;pyocianique;pyocyanique
3;ras;as bas bras cas fas gras nas pas ra raa rac racs rao rash rat rau sras
3;rendant;pendant
3;repetitions;repetition
3;resiratoire;respiratoire
3;respiratroire;respiratoire
3;respirtoire;respiratoire
3;ryhme;rythme
3;rytheme;erytheme rythme
3;rytme;rythme
3;sct;act ct hct oct sc sca sch scm scn st stt
3;sdraa;sdra
3;sdta;sdra
3;sepique;septique serique
3;sepis;sepsis
3;ses;des ees es se sec sees sel sels sep sesa ss sss sus
3;sespsis;sepsis
3;suinfection;surinfection
3;syndrom;syndrome
3;takayasu;takayashu
3;taloniere;talonniere
3;tracheo;trachee
3;tracheostomise;tracheostomie tracheotomise
3;tranformation;transformation
3;trombose;thombose thrombose
3;tropo;trop
3;trt;atrt hrt rt tnt tr tvt
3;tte;mte pte tce tete tne tue tye
3;ulceronecrosante;ulcero-necrosante
3;uro;iro upo
3;vertebro;vertebre
3;vertebrobasilaire;vertebro-basilaire
3;vessicale;vesicale
3;vit;ait it lit pit vi via vie vih vii vin vis vtt
3;waldenstroem;waldenstrom
2;101;10 10% 100 10p 10q 11 131
2;10h;10 10% 100 10p 10q
2;15j;15 15%
2;24h;24 24%
2;2cardiopathie;cardiopathie
2;abdominoperineale;abdomino-perineale
2;acccident;accident
2;accdent;accident
2;accidente;accident accidentel accidents
2;acido-cetose;acidocetose
2;acta;aca acfa act actal acte acth ata
2;adenocacinome;adenocarcinome
2;adenopahies;adenopathies
2;aeruginosas;aeruginosa
2;agiue;agite
2;ainsi;ains
2;alb;ab al alba ald ali alk alr
2;alccoolique;alcoolique
2;allitement;alitement allaitement
2;alzhemer;alzheimer
2;amenorrhees;amenorrhee
2;amputaion;amputation
2;amytrophique;amyotrophique
2;and;ad ald an ane ans ant apd
2;anevrrysme;anevrysme
2;angicholite;angiocholite
2;angidysplasie;angiodysplasie
2;angio;angiox
2;angiocholyte;angiocholite
2;annee;annexe apnee innee
2;antcd;atcd
2;anteriur;anterieur
2;appendicetomie;appendicectomie
2;appreillee;appareillee
2;ardiaque;cardiaque
2;ardio-respiratoire;cardio-respiratoire
2;areb1;areb
2;areet;arret
2;arreet;arret
2;arrert;arret
2;arretee;arrete
2;arrythmie;arythmie
2;arteriopathe;arteriopathie
2;artrite;antrite arterite arthrite
2;assiste;assistee
2;associes;associee
2;ateinte;atteinte teinte
2;augue;aigue fugue
2;auricaulaire;auriculaire
2;auriiculaire;auriculaire
2;aval;anal oval
2;avancees;avancee
2;avoir;lavoir voir
2;baltazar;balthazar
2;bassan;bassin
2;bi-polaires;bipolaires
2;bilaires;bilaire biliaires hilaires
2;bilateralle;bilaterale
2;bilaterals;bilateral bilaterale bilaterales
2;bili;bile
2;bonne;benne bonnet borne donne tonne
2;bout;boit bot boue gout
2;brochopneumopathie;bronchopneumopathie
2;bronchiqe;bronchique bronchite
2;bronchiqu;bronchique
2;bronchoaspiration;broncho-aspiration
2;bronchopeumopathie;bronchopneumopathie
2;broncopneumopathie;bronchopneumopathie
2;broncopulmonaire;bronchopulmonaire
2;c1c2;c1-c2 c12
2;cabcer;cancer
2;cacer;cancer
2;cadio;radio
2;capsulolenticulaire;capsulo-lenticulaire
2;carbapenemase;carbapenemases
2;carcinom;carcinome
2;carcinoses;calcinoses carcinomes carcinose
2;carconome;carcinome
2;card;car
2;cardiapathie;cardiopathie
2;cardiaqe;cardiale cardiaque
2;cardiaqu;cardiaque
2;cardiasue;cardiaque
2;cardio-genique;cardiogenique
2;cardio-respratoire;cardio-respiratoire
2;cardio6respiratoire;cardio-respiratoire cardiorespiratoire
2;cardiociculatoire;cardiocirculatoire
2;cardioparhie;cardiopathie
2;cardioparthie;cardiopathie
2;cardiopathi;cardiopathie
2;cardiorespiratopire;cardiorespiratoire
2;cardippathie;cardiopathie
2;caricome;carinome
2;catarracte;cataracte
2;celleules;celllules cellules
2;celllaire;cellulaire
2;celllule;celllules cellule
2;cencer;cancer
2;centro;centre
2;cerabral;cerebral
2;chimiotherape;chimiotherapie
2;chimiothrapie;chimiotherapie
2;chrionique;chronique
2;chronque;chronique
2;chue;chute crue
2;chutte;chute hutte
2;cigarettesj;cigarettes
2;ciirrhose;cirrhose
2;cmp;camp cbp cm cmd cmh cmi cmj cmo cmv cp crp csp mp
2;cncer;cancer
2;cognitfs;cognitifs
2;comfort;confort
2;consecutives;consecutive
2;constate;constante constat
2;coranarien;coronarien
2;cordiopathie;cardiopathie
2;corticoinduit;cortico-induit
2;coryne;corne
2;cranioencephalique;cranio-encephalique
2;crdiogenique;cardiogenique
2;creat;crest
2;crebral;cerebral
2;croissante;croissance
2;cup;acup cbp coup cp crp csp iup sup up
2;cut;ct fut
2;cutannee;cutanee
2;cyclosporine;ciclosporine
2;cypho-scoliose;cyphoscoliose
2;cyrrhose;cirrhose
2;d2faillance;defaillance
2;d2tresse;detresse
2;dafaillance;defaillance
2;dardiaque;cardiaque
2;dde;ddb de dhe dpe due dve pde
2;debute;debut
2;decellement;decollement descellement
2;decompansation;decompensation
2;decompeansation;decompensation
2;decompenasation;decompensation
2;def;de dem des
2;defaillanc;defaillance defaillant
2;degenrative;degenerative
2;demensiel;dementiel
2;denitrition;denutrition
2;denutriotion;denutrition
2;denutrution;denutrition
2;deompensation;decompensation
2;depessif;depressif
2;dermoepidermite;dermo-epidermite
2;desequilbre;desequilibre
2;detesse;detresse
2;detrese;detresse
2;dettresse;detresse
2;devait;devant
2;diab2tique;diabetique
2;diagnostiques;diagnostique diagnostiquee
2;dialyser;dialyse dialysee dialyses
2;difficilae;difficile
2;dilysee;dialysee
2;dind;did din
2;dopplers;doppler
2;dorigine;origine
2;drt;dbt dft dr dra dt hrt rt
2;duodenopancreactectomie;duodenopancreatectomie
2;dyalysee;dialysee
2;dylipidemie;dyslipidemie
2;echerichia;escherichia
2;edeglutition;deglutition
2;ehylisme;ethylisme
2;embarure;embarrure
2;emboli;embol embole embolie embols
2;embomie;embolie
2;encepalique;encephalique
2;encephalopthie;encephalopathie
2;encephlopathie;encephalopathie
2;encore;encorne
2;enteroccocus;enterococus
2;enteroque;enterique
2;epdermoide;epidermoide
2;epiderrmoide;epidermoide
2;epilpsie;epilepsie
2;equivalent;equivalents
2;eresipele;erysipele
2;eschemique;ischemique
2;etc;atc ec emc epc et evc ktc tc
2;etiquettee;etiquetee
2;evolu2e;evolue evoluee
2;evoluer;evolue evoluee
2;evoque;evolue
2;evoution;evolution
2;extrauterine;extra-uterine
2;faire;aire paire
2;falcique;calcique
2;fibillation;fibrillation
2;final;finale
2;franchi;franche
2;fulmiante;fulminante
2;fungoide;fongoide
2;gabataire;grabataire
2;gammapthie;gammapathie
2;ganlionnaires;ganglionnaires
2;gastrostomise;gastrostomie
2;genant;geant
2;genaral;general
2;gliblastome;glioblastome
2;gliobastome;glioblastome
2;glyoblastome;glioblastome
2;gouteuse;douteuse goutteuse
2;grabataires;grabataire
2;grabatisee;grabatisme
2;grabbataire;grabataire
2;hat;at chat haa had hag haut hct hdt hrt mat rat
2;hcv;ccv hc hch hcl hct hiv hpv hsv
2;hematone;hematome
2;hemooragique;hemorragique
2;hemorrragie;hemorragie
2;hepathocellulaire;hepatocellulaire
2;hepatocelulaire;hepatocellulaire
2;hepatque;hepatique
2;hepatques;hepatiques
2;heptiques;hepatiques peptiques septiques
2;hodgking;hodgkin
2;hodkinien;hodgkinien hogkinien
2;hogkin;hodgkin
2;hosp;host
2;hpatiques;hepatiques
2;hpb;cpb hb hpbm hpn hpv hrb pb vpb
2;hronique;chronique
2;hupertensive;hypertensive
2;hyoxique;hypoxique
2;hypercapenie;hypercapnie
2;hypercholsterolemie;hypercholesterolemie
2;hypoximiante;hypoxemiante
2;hypoxyque;hypoxique
2;ichemie;ischemie
2;ihalation;inhalation
2;iiia;iia iii
2;iiic;iii
2;iinfectieuse;infectieuse tinfectieuse
2;illiaque;iliaque
2;immunusuppression;immunosuppression
2;inahalation;inhalation
2;inconue;inconnue
2;inderterminee;indeterminee
2;indifferentie;indifferencie
2;ineficacite;inefficacite
2;infartctus;infarctus
2;inferieus;inferieur inferieurs
2;inflamatoire;inflamamtoire inflammatoire
2;infs;inf
2;ingere;insere
2;inhaltion;inhalation
2;inndation;inondation
2;innhalation;inhalation
2;insf;inf
2;insterstitielle;instertitielle interstitielle
2;institue;institut
2;insuffiasance;insuffisance
2;insuffisabnce;insuffisance
2;insuiffisance;insuffisance
2;insuuffisance;insuffisance
2;int;ant in inf inr iot it tnt
2;interstinale;intestinale
2;interstitelle;interstitielle
2;intracerabral;intracerebral
2;intracerabrale;intracerebrale
2;intracraniene;intracranien intracranienne intracraniens
2;intraventiculaire;intraventriculaire
2;ischemiaue;ischemique
2;ischemo;ischemi
2;ischemque;ischemique
2;ischio;ischion
2;j10;10 c10 d10 k10 t10 w10
2;kpneumoniae;pneumoniae
2;l2l3;l2-l3
2;lanticoagulation;anticoagulation
2;lanus;anus lantus
2;larbre;arbre marbre
2;leffort;effort lefort
2;legionelles;legionelle legionnelles
2;lespace;espace
2;leucemi;leucemie
2;lhelium;helium
2;lhematome;hematome
2;lhemiface;hemiface
2;lhemithorax;hemithorax
2;lhemorragie;hemorragie
2;lhemostase;hemostase
2;lhopital;hopital
2;lhumeur;humeur
2;lieberkhunien;lieberkunien
2;lileon;ileon
2;lob;lab lobe loc loi
2;lobesite;obesite
2;lod;leod lid loc loi lsd od
2;luretre;uretre
2;lymphocytaite;lymphocytaire
2;malaide;malade malaire malaise
2;malign;maligne malin
2;maltophila;maltophilia
2;mambres;membres
2;mas;as bas cas fas mac mais mal map maso mat mav ms nas pas
2;masive;massive
2;matastase;metastase
2;matin;main malin marin
2;maultiviscerale;multiviscerale
2;mbs;hbs ms
2;mdrd;mdr3
2;mediatinales;mediastinales
2;melanom;melanome
2;meme;3eme 5eme 6eme 8eme mere veme
2;menbranes;membranes
2;menigiome;meningiome
2;mesentrique;mesenterique
2;mestastases;metastases
2;metasatases;metastases
2;metasatique;metastatique
2;metastaique;metastasique metastatique
2;metastasess;metastases
2;metastatatique;metastastatique
2;metastses;metastases
2;metasttique;metastatique
2;metatase;metastase metatarse
2;metestatique;metastatique
2;miltiviscerale;multiviscerale
2;miocardique;myocardique
2;mis;amis bis cis his is mais mi mid mig mise miu ms vis
2;mises;mise
2;moe;mce mode mole mot mou mte poe
2;montre;contre montee
2;motif;emotif
2;mulimetastatique;multimetastatique
2;multi-metastatiques;multi-metastatique
2;multi-vicerale;multi-viscerale
2;multivisc2rale;multiviscerale
2;multivisceralle;multiviscerale
2;multiviserales;multiviscerales
2;multumetastase;multimetastase
2;muyocarde;myocarde
2;mycarde;myocarde
2;myeloblastque;myeloblastique
2;myelopysplasie;myelodysplasie
2;myielome;myelome
2;mylome;myelome myome myxome
2;myocadiopathie;myocardiopathie
2;myocardipathie;myocardiopathie
2;naso;baso maso naco nas nash
2;neplasie;neoplasie neplasme
2;nerosante;necosante necrosante
2;neumopathie;neuropathie pneumopathie
2;neurolyme;neurolyse
2;nhalation;inhalation
2;obesitee;obesite
2;obstuctive;obstructive
2;obtructive;obstructive
2;occusif;occlusif
2;odeme;oedeme
2;oligodendriogliome;oligodendrogliome
2;oprerable;operable
2;orages;orage
2;orotracheale;oro-tracheale
2;oseux;osseux
2;osseues;osseuses
2;osseusse;osseuse
2;paliative;palliative
2;palliatis;palliatif palliatifs
2;pancrea;pancreas
2;pancretite;pancreatite
2;paquets;paquet
2;pass;ass pas pash passe pays
2;patites;petites
2;peforation;perforation
2;peid;pexid pid
2;peni;deni penis
2;peritonie;peritonite
2;pharyngo;pharynge
2;phasse;chasse passe phase
2;pilmonaire;pulmonaire
2;plaquetaire;plaquettaire
2;plymetastatique;polymetastatique
2;pneimopathie;pneumopathie
2;pneomopathie;pneumopathie
2;pneummopathie;pneumopathie
2;pneumopathiie;pneumopathie
2;pneumoperitoire;pneumoperitoine
2;pneunopathie;pneumopathie
2;poly-metastatique;polymetastatique
2;pomon;poumon
2;por;bor or par pbr pcr per pkr poe porc port pot pour ppr pr ror
2;posthemorragique;post-hemorragique
2;posthypertensive;post-hypertensive
2;posttraumatique;post-traumatique
2;poymetastatique;polymetastatique
2;preocclusive;pre-occlusive
2;press;dress pres presse
2;primitf;primitif
2;prothes;prothese
2;pt2;pt pte ptg pth pti ptt ptv t2
2;puilmonaire;pulmonaire
2;pul;nul pal pl pus
2;pulmanaire;pulmonaire
2;pulmnaire;pulmaire pulmonaire
2;pulmonair;pulmonaire
2;pulmoniares;pulmoniare
2;pulmonnaires;pulmonaires
2;pulmpnaire;pulmonaire
2;pumonaires;pulmonaires
2;putrefiee;putrefie
2;pyo;pmo pno
2;r2nale;renale
2;radiot;radio
2;raoc;rac rao
2;rattrappee;rattrapee
2;rdu;du rau reu rtu
2;realisee;realise
2;recedive;recidive
2;recentes;recente recents
2;refrataire;refractaire
2;reinale;renale
2;renle;renale
2;repetiton;repetition
2;repitition;repetition
2;requerante;requerant
2;rerspiratoire;respiratoire
2;resoiratoire;respiratoire
2;respirartoire;respiratoire
2;respratoire;respiratoire
2;respriratoire;respiratoire
2;resuscite;ressuscite
2;retenue;retenu
2;retrecissment;retrecissement
2;rhabdomyolise;rhabdomyolyse
2;ruture;rupture suture
2;sdme;edme sdms sdmv
2;sei;ei gei se sec sein seip sel semi sep sii ski sri svi
2;senelite;senilite
2;sensitivo;sensitive
2;sensitivomotrice;sensitivo-motrice
2;sepsie;sepsis
2;septcemie;septicemie
2;septiqe;septique
2;sequelaire;sequellaire
2;setique;septique serique
2;sevrere;severe sevree
2;sino;silo sine
2;smp;mp sap sep smd spp sup
2;sondee;sodee sonde sondes
2;sport;port
2;sptique;optique septique spatique
2;ssur;smur sur
2;stade3;stade
2;staphyllocoque;staphylocoque
2;streptoccoque;streptocoque
2;substitue;substituee
2;supraventiculaire;supraventriculaire
2;surenaliennes;surrenaliennes
2;suriinfection;surinfection
2;svere;avere severe shere
2;sylvin;sylvien
2;systematise;systematisee
2;t3n1;t3n0 t3n2 t3n3
2;tabgagisme;tabagisme
2;tabgisme;tabagisme
2;tachy;tache
2;teerminale;terminale
2;tenue;tente
2;terminaale;terminale
2;terminakle;terminale
2;tot;bot iot mot pot tnt toc toit tvt
2;toxiinfectieux;toxi-infectieux
2;traitment;traitement
2;trans-uretrale;transuretrale
2;traumatise;traumatisme
2;tricholeucocyte;tricholeucocytes
2;troble;trouble
2;trobles;troubles
2;trombopenie;thrombopenie
2;troubes;troubles
2;trouibles;troubles
2;tythme;rythme
2;uretero;uretere
2;urgente;urgence
2;urinair;urinaire
2;valculaire;valvulaire vasculaire
2;vascullaire;vasculaire
2;veno-occlusive;veino-occlusive
2;ventilee;ventile ventiles
2;ventricullaire;ventriculaire
2;vieillessement;vieillissement
2;waterien;vaterien
2;xieme;vieme
1;508;f508
1;0rl;orl
1;102;02 1/2 10 10% 100 10p 10q 12
1;103;03 1/3 10 10% 100 10p 10q 13
1;104;1/4 10 10% 100 10p 10q 14
1;108;10 10% 100 10p 10q 18
1;10e;10 10% 100 10p 10q
1;12e;12 12% 125 12p
1;12h;12 12% 125 12p
1;147;14 14% 47
1;149;14 14% 19
1;1500;100 1000 4500 500
1;1508;f508
1;154;1/4 14 15 15%
1;155;115 125 15 15% 55
1;160;10 100 16 16% 60
1;161;11 131 16 16%
1;167;16 16%
1;18e;18 18% 18q
1;18m;18 18% 18q
1;1multimetastase;multimetastase
1;207;20 20% 20q 27
1;211;11 21 c11 d11 t11
1;212;12 21 22 b12 c12 d12 t12
1;249;24 24% 2499 29
1;24l;24 24%
1;267;26 27
1;26g;26
1;2complique;complique
1;2denutrition;denutrition
1;2evolution;evolution
1;2hta;hta
1;2panchement;epanchement
1;2pj;pj
1;307;30 30% 300 37
1;326;26 32 36
1;348;3-8 34 38
1;38s;38 380
1;3ere;1ere 3eme mere pere
1;3ieme;3eme vieme
1;3insuffisance;insuffisance
1;3semaines;semaines
1;400;100 300 40 40% 4500 500 600 900
1;4000;1000 4500
1;411;11 c11 d11 t11
1;470;40 47 70
